rep,stress,breadth,unit_share,unit_acceptance,total_completion
8,0.9,0.8,0.7216016815214428,0.7167261263089991,0.8481685357260458
8,0.9,1.0,0.7546966750936913,0.8647403100543437,0.9341161483587161
9,0.1,0.4,0.013356614001081131,0.0805746184025416,0.9135782950378748
9,0.1,0.6,0.027659617915571547,0.14980937395638394,0.9249999049738058
9,0.1,0.8,0.06347398872436762,0.24308095752571457,0.8808408330653151
9,0.1,1.0,0.059585484555750856,0.3874455888134069,0.9927728547529601
9,0.3,0.4,0.08725487381702439,0.1403047775345782,0.6795237049768337
9,0.3,0.6,0.12433572050790914,0.25288938096920854,0.7531334832170513
9,0.3,0.8,0.17641533975634643,0.4106081521735601,0.8118300201671103
9,0.3,1.0,0.24509587266748264,0.5596524335042764,0.8858906317881166
9,0.5,0.4,0.14924130742066483,0.24853575941963224,0.5987125400878999
